
Loading the model ...
  input file   : ../models/08/cheng.D3-1.pomdp
  loading time : 0.00s 

SARSOP initializing ...
  initialization time : 0.00s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 0       0       0        30.7571    32.8887    2.13163     3        1        
 0       8       50       32.0624    32.1467    0.0843071   7        17       
 0.01    13      101      32.0707    32.1097    0.0390091   12       31       
 0.01    18      150      32.0709    32.0956    0.024701    14       47       
 0.02    22      200      32.0709    32.0908    0.0198718   7        61       
 0.02    27      253      32.0709    32.0853    0.0144198   4        70       
 0.03    31      300      32.0709    32.0827    0.0117637   6        82       
 0.03    36      353      32.0709    32.0809    0.00994828  14       91       
 0.04    40      400      32.0709    32.0798    0.00887442  6        100      
 0.04    45      453      32.0709    32.0784    0.00743579  4        112      
 0.05    49      501      32.0709    32.0772    0.0062348   4        124      
 0.06    53      553      32.0709    32.0766    0.00568283  4        134      
 0.07    57      601      32.0709    32.0759    0.00500095  4        148      
 0.08    61      650      32.0709    32.0753    0.00434875  7        158      
 0.09    65      705      32.0709    32.0748    0.00388472  4        171      
 0.1     69      753      32.0709    32.0745    0.00357191  4        179      
 0.11    72      800      32.0709    32.0743    0.0033544   9        193      
 0.12    76      850      32.0709    32.074     0.00309477  9        202      
 0.13    80      900      32.0709    32.0738    0.00290076  9        213      
 0.14    84      950      32.0709    32.0736    0.00270139  7        222      
 0.15    88      1000     32.0709    32.0734    0.00248595  8        233      
 0.17    92      1055     32.0709    32.0732    0.00225719  4        246      
 0.18    95      1100     32.0709    32.0731    0.00216041  9        256      
 0.19    99      1150     32.0709    32.073     0.00203947  7        263      
 0.21    103     1200     32.0709    32.0728    0.00190822  6        274      
 0.23    107     1253     32.0709    32.0727    0.00177552  4        282      
 0.24    110     1300     32.0709    32.0726    0.00170645  13       294      
 0.26    114     1351     32.0709    32.0725    0.0016187   4        300      
 0.28    118     1400     32.0709    32.0725    0.00156132  11       312      
