
Loading the model ...
  input file   : ../models/tiger-grid.pomdp
  loading time : 0.00s 

SARSOP initializing ...
  initialization time : 0.50s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 0.5     0       0        -1.83199e-05 2.73257    2.73258     5        1        
 0.58    1       57       -1.0362e-06 2.62648    2.62648     58       16       
 0.7     2       113      -6.16939e-08 2.58082    2.58082     114      30       
 0.87    3       153      0.330736   2.57431    2.24358     153      41       
 0.97    5       213      0.708046   2.57325    1.86521     213      44       
 1.05    6       250      0.81346    2.57324    1.75978     250      45       
 1.42    7       300      0.892443   2.57323    1.68079     300      58       
 1.85    8       350      0.96992    2.57323    1.60331     343      71       
 2.29    10      409      1.11412    2.57197    1.45785     400      80       
 2.42    11      450      1.16765    2.5717     1.40405     436      80       
 2.74    13      503      1.28155    2.57159    1.29004     483      83       
 3.01    14      550      1.3107     2.57119    1.26049     530      86       
 3.69    16      613      1.33912    2.56859    1.22948     583      96       
 4.11    17      655      1.3522     2.5662     1.214       625      103      
 4.33    18      700      1.3626     2.56499    1.20239     661      105      
 4.96    20      761      1.4039     2.56376    1.15985     709      111      
 5.45    21      801      1.42837    2.56349    1.13511     749      116      
 6.45    22      850      1.46101    2.56338    1.10237     360      123      
 6.7     24      909      1.50353    2.56334    1.05981     419      126      
 6.86    25      950      1.51915    2.56174    1.04259     459      127      
 7.54    26      1000     1.54267    2.56126    1.01859     507      136      
 8.12    28      1065     1.58142    2.56063    0.979208    565      143      
 8.37    29      1101     1.60043    2.56053    0.960104    598      145      
 8.96    31      1165     1.63232    2.55838    0.926065    351      148      
 9.31    32      1205     1.64525    2.55804    0.912791    385      154      
 9.51    33      1250     1.65861    2.55787    0.899257    426      155      
 10.05   35      1300     1.66965    2.55776    0.888103    464      162      
 10.36   36      1353     1.70769    2.5574     0.849707    509      165      
 10.7    37      1400     1.71834    2.55683    0.838497    207      166      
 11.01   39      1459     1.74111    2.55652    0.815407    266      170      
 11.16   40      1500     1.74888    2.55638    0.807499    306      170      
 11.37   42      1555     1.76832    2.55631    0.787988    348      170      
 11.69   43      1600     1.77674    2.5563     0.779565    393      173      
 12.28   44      1650     1.79409    2.55615    0.762068    98       179      
 12.66   45      1700     1.81685    2.55611    0.739261    142      187      
 13.11   47      1765     1.83225    2.55609    0.723838    91       194      
 13.27   48      1801     1.83932    2.55608    0.716758    120      195      
 14.02   49      1859     1.85485    2.55601    0.701163    84       209      
 14.16   50      1900     1.87102    2.55595    0.684931    82       210      
 14.48   52      1969     1.891      2.55588    0.664888    82       215      
 14.63   53      2005     1.90339    2.55583    0.652437    78       217      
 15.1    54      2050     1.9161     2.55538    0.639281    79       225      
 15.34   56      2113     1.92939    2.55486    0.625466    74       226      
 15.48   57      2150     1.93538    2.55473    0.619353    73       226      
 15.75   58      2200     1.94441    2.55468    0.610272    78       230      
 16.02   60      2257     1.95854    2.55466    0.596122    81       232      
 16.16   61      2300     1.96541    2.55439    0.588983    80       233      
 16.67   63      2365     1.9826     2.55413    0.571529    77       240      
 16.9    64      2405     1.98761    2.55411    0.566501    78       242      
 17.03   65      2450     1.99475    2.55402    0.559261    77       242      
 17.47   67      2519     2.00454    2.55399    0.549446    82       246      
 17.61   68      2551     2.01246    2.55397    0.54151     81       246      
 18.16   69      2603     2.02058    2.55396    0.533382    84       254      
 18.36   70      2650     2.02454    2.55396    0.529421    87       255      
 18.66   72      2711     2.03106    2.55394    0.522882    86       258      
 19.42   73      2771     2.0367     2.55388    0.517178    95       273      
 19.88   74      2815     2.04136    2.55385    0.512494    94       278      
 20.05   75      2850     2.04431    2.55337    0.509056    97       279      
 20.34   76      2900     2.04861    2.55327    0.504654    104      283      
 20.57   78      2951     2.05658    2.55308    0.496499    104      283      
 20.78   79      3000     2.0597     2.55247    0.492769    105      284      
 21.09   81      3053     2.0624     2.55164    0.489243    103      286      
