
Loading the model ...
  input file   : ../models/drone-4-2-80.pomdp
  loading time : 0.01s 

SARSOP initializing ...
  initialization time : 14.92s

-------------------------------------------------------------------------------
 Time   |#Trial |#Backup |LBound    |UBound    |Precision  |#Alphas |#Beliefs  
-------------------------------------------------------------------------------
 14.92   0       0        0          0.00772913 0.00772913  4        1        
 20.17   2       57       0.00169911 0.00771733 0.00601823  38       17       
 25.16   4       113      0.00288104 0.00771718 0.00483614  94       23       
 28.67   5       150      0.00301338 0.00771718 0.0047038   131      27       
 33.07   7       200      0.00310885 0.00771718 0.00460833  178      33       
 37.67   9       253      0.00319665 0.00771718 0.00452053  207      35       
 42.53   11      303      0.00328328 0.00771718 0.0044339   233      39       
 48.25   13      363      0.00339908 0.00771718 0.0043181   246      46       
 51.77   14      400      0.00346727 0.00771718 0.0042499   249      49       
 56.47   16      450      0.00359293 0.00771718 0.00412425  265      54       
 61.09   18      500      0.00375483 0.00771718 0.00396235  267      63       
 65.98   20      553      0.00392462 0.00771718 0.00379255  267      67       
 71.41   22      613      0.00412584 0.00771718 0.00359134  284      81       
 74.96   23      650      0.00420164 0.00771718 0.00351553  284      83       
 79.35   25      700      0.0043394  0.00771718 0.00337778  305      94       
 84.12   27      755      0.00445734 0.00771718 0.00325984  325      102      
 88.93   29      811      0.00452274 0.00771718 0.00319444  331      104      
 92.28   30      850      0.00455604 0.00771718 0.00316114  346      109      
 96.6    32      900      0.00460014 0.00771718 0.00311703  349      109      
 101.08  34      950      0.0046439  0.00771718 0.00307327  360      110      
 105.79  36      1000     0.00474549 0.00771718 0.00297168  377      120      
 110.89  38      1053     0.004814   0.00771718 0.00290318  390      121      
 116.21  40      1109     0.00492773 0.00771718 0.00278945  411      133      
 120.84  42      1157     0.00502845 0.00771718 0.00268872  412      133      
 125.74  44      1211     0.00508836 0.00771718 0.00262882  434      137      
 129.43  45      1250     0.00510548 0.00771718 0.0026117   443      144      
 134.58  47      1303     0.00523711 0.00771698 0.00247987  470      157      
 139.26  49      1351     0.0053283  0.00771696 0.00238865  484      158      
 144.95  51      1407     0.00547116 0.00771696 0.0022458   502      164      
 149.47  52      1450     0.00549034 0.00771696 0.00222662  522      164      
 154.51  54      1500     0.00552313 0.00771696 0.00219383  527      169      
 159.56  56      1550     0.00559059 0.00771696 0.00212637  540      174      
 165.46  58      1609     0.00561863 0.00771696 0.00209832  558      181      
 169.76  60      1650     0.00562833 0.00771696 0.00208863  564      185      
 176.44  62      1713     0.00571878 0.00771696 0.00199818  573      186      
 180.42  63      1750     0.00573056 0.00771696 0.0019864   583      189      
