2024-05-13 20:55:08,753 - cli.py - This is Paynt version 0.1.0.
2024-05-13 20:55:08,753 - sketch.py - loading sketch from models/archive/jair24-synthesis/dec-pomdp/grid-meet-sl-2fsc-discount/sketch.templ ...
2024-05-13 20:55:08,753 - sketch.py - assuming sketch in PRISM format...
2024-05-13 20:55:08,757 - prism_parser.py - PRISM model type: DTMC
2024-05-13 20:55:08,757 - prism_parser.py - processing hole definitions...
2024-05-13 20:55:08,757 - prism_parser.py - loading properties from models/archive/jair24-synthesis/dec-pomdp/grid-meet-sl-2fsc-discount/sketch.props ...
2024-05-13 20:55:08,758 - prism_parser.py - found the following specification: optimality: R[exp]{"moves"}max=? [F "goal"] 
2024-05-13 20:55:08,758 - jani.py - constructing JANI program...
2024-05-13 20:55:08,763 - jani.py - constructing the quotient...
2024-05-13 20:55:11,601 - jani.py - associating choices of the quotient with hole assignments...
2024-05-13 20:55:12,545 - sketch.py - sketch parsing OK
2024-05-13 20:55:12,545 - sketch.py - converting state rewards 'moves' to state-action rewards
2024-05-13 20:55:12,593 - sketch.py - constructed explicit quotient having 18432 states and 599040 actions
2024-05-13 20:55:12,593 - sketch.py - found the following specification optimality: R[exp]{"moves"}max=? [F "goal"] 
2024-05-13 20:55:13,105 - synthesizer.py - synthesis initiated, design space: 1e7
> progress 1.031%, elapsed 3 s, estimated 291 s, iters = {MDP: 121}, opt = -98.187
> progress 1.595%, elapsed 6 s, estimated 376 s, iters = {MDP: 396}, opt = -87.496
> progress 1.685%, elapsed 9 s, estimated 535 s, iters = {MDP: 599}, opt = -12.438
> progress 2.197%, elapsed 12 s, estimated 547 s, iters = {MDP: 682}, opt = -12.417
> progress 2.404%, elapsed 15 s, estimated 626 s, iters = {MDP: 794}, opt = -11.455
> progress 2.416%, elapsed 18 s, estimated 749 s, iters = {MDP: 914}, opt = -11.455
> progress 2.6%, elapsed 21 s, estimated 812 s, iters = {MDP: 1085}, opt = -11.141
> progress 5.224%, elapsed 24 s, estimated 462 s, iters = {MDP: 1205}, opt = -11.141
> progress 5.371%, elapsed 27 s, estimated 507 s, iters = {MDP: 1259}, opt = -11.141
> progress 5.53%, elapsed 30 s, estimated 548 s, iters = {MDP: 1407}, opt = -11.141
> progress 5.688%, elapsed 33 s, estimated 586 s, iters = {MDP: 1471}, opt = -11.141
> progress 5.693%, elapsed 36 s, estimated 639 s, iters = {MDP: 1546}, opt = -11.141
> progress 6.25%, elapsed 39 s, estimated 631 s, iters = {MDP: 1627}, opt = -11.141
> progress 6.73%, elapsed 42 s, estimated 631 s, iters = {MDP: 1644}, opt = -11.141
> progress 6.909%, elapsed 45 s, estimated 663 s, iters = {MDP: 1664}, opt = -11.141
> progress 6.982%, elapsed 48 s, estimated 699 s, iters = {MDP: 1675}, opt = -11.141
> progress 7.0%, elapsed 51 s, estimated 741 s, iters = {MDP: 1687}, opt = -11.141
> progress 7.128%, elapsed 55 s, estimated 777 s, iters = {MDP: 1702}, opt = -11.141
> progress 7.275%, elapsed 59 s, estimated 811 s, iters = {MDP: 1707}, opt = -11.141
> progress 7.276%, elapsed 62 s, estimated 853 s, iters = {MDP: 1797}, opt = -11.141
> progress 7.287%, elapsed 65 s, estimated 894 s, iters = {MDP: 1895}, opt = -11.141
> progress 7.292%, elapsed 68 s, estimated 936 s, iters = {MDP: 1913}, opt = -11.141
> progress 7.812%, elapsed 71 s, estimated 912 s, iters = {MDP: 1950}, opt = -11.141
> progress 8.081%, elapsed 74 s, estimated 922 s, iters = {MDP: 1958}, opt = -11.141
> progress 8.593%, elapsed 77 s, estimated 902 s, iters = {MDP: 1971}, opt = -11.141
> progress 10.937%, elapsed 80 s, estimated 739 s, iters = {MDP: 1996}, opt = -11.141
> progress 11.962%, elapsed 83 s, estimated 701 s, iters = {MDP: 2013}, opt = -11.141
> progress 12.109%, elapsed 86 s, estimated 718 s, iters = {MDP: 2037}, opt = -11.141
> progress 12.799%, elapsed 89 s, estimated 702 s, iters = {MDP: 2080}, opt = -11.141
> progress 13.085%, elapsed 92 s, estimated 710 s, iters = {MDP: 2163}, opt = -11.141
> progress 13.284%, elapsed 96 s, estimated 722 s, iters = {MDP: 2182}, opt = -11.141
